,date,tank,speaker,treatment,settled,cup_position,spl,low_freq,mid_freq,high_freq,aci,adi,aei,larvae_cup
1,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,1
1.1,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,1
1.2,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,1
1.3,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,1
2,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,2
2.1,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,2
3,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,3
3.1,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,3
3.2,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,3
4,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,4
4.1,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,4
4.2,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,4
4.3,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,4
5,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,5
5.1,3-Mar,2,4,vessel,1,NA,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475,5
6,3-Mar,5,0,reef + vessel,1,NA,125.1402502,85.54101982,87.70814165,78.61207668,4168.419349,1.147695339,0.906697384,6
6.1,3-Mar,5,0,reef + vessel,1,NA,125.1402502,85.54101982,87.70814165,78.61207668,4168.419349,1.147695339,0.906697384,6
6.2,3-Mar,5,0,reef + vessel,1,NA,125.1402502,85.54101982,87.70814165,78.61207668,4168.419349,1.147695339,0.906697384,6
6.3,3-Mar,5,0,reef + vessel,1,NA,125.1402502,85.54101982,87.70814165,78.61207668,4168.419349,1.147695339,0.906697384,6
6.4,3-Mar,5,0,reef + vessel,1,NA,125.1402502,85.54101982,87.70814165,78.61207668,4168.419349,1.147695339,0.906697384,6
