date,tank,speaker,treatment,settled,unsettled,cup_position,spl,low_freq,mid_freq,high_freq,aci,adi,aei
3-Mar,2,3,boat,4,4,,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475
3-Mar,2,3,boat,2,7,,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475
3-Mar,2,3,boat,3,5,,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475
3-Mar,2,3,boat,4,6,,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475
3-Mar,2,3,boat,2,8,,117.1257645,79.10317999,79.40652187,71.23761576,4155.157223,1.285624171,0.917908475
3-Mar,5,4,healthy reef + boat,5,4,,125.1402502,85.54101982,87.70814165,78.61207668,4168.419349,1.147695339,0.906697384
3-Mar,5,4,healthy reef + boat,1,9,,125.1402502,85.54101982,87.70814165,78.61207668,4168.419349,1.147695339,0.906697384
3-Mar,5,4,healthy reef + boat,3,7,,125.1402502,85.54101982,87.70814165,78.61207668,4168.419349,1.147695339,0.906697384
3-Mar,5,4,healthy reef + boat,3,4,,125.1402502,85.54101982,87.70814165,78.61207668,4168.419349,1.147695339,0.906697384
3-Mar,5,4,healthy reef + boat,1,9,,125.1402502,85.54101982,87.70814165,78.61207668,4168.419349,1.147695339,0.906697384
3-Mar,4,1,healthy reef,6,4,,110.7654677,77.17817886,69.89926175,65.70785017,4703.756302,1.34277153,0.905104658
3-Mar,4,1,healthy reef,6,4,,110.7654677,77.17817886,69.89926175,65.70785017,4703.756302,1.34277153,0.905104658
3-Mar,4,1,healthy reef,4,6,,110.7654677,77.17817886,69.89926175,65.70785017,4703.756302,1.34277153,0.905104658
3-Mar,4,1,healthy reef,5,5,,110.7654677,77.17817886,69.89926175,65.70785017,4703.756302,1.34277153,0.905104658
3-Mar,4,1,healthy reef,0,10,,110.7654677,77.17817886,69.89926175,65.70785017,4703.756302,1.34277153,0.905104658
3-Mar,1,0,no sound,4,5,,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975
3-Mar,1,0,no sound,0,7,,94.85451187,64.83732767,24.91837811,22.33149362,4084.34769,2.99E-304,0.975
