date,tank,speaker,treatment,settled,unsettled,cup_position,proportion_settled,,,,,,,,,,,,,,,,
3-Mar,3,2,off reef,4,6,,0.4,,,,,,,,,,,,,,,,
3-Mar,3,2,off reef,0,8,,0,,,,,,,,,,,,,,,,
3-Mar,3,2,off reef,5,4,,0.555555556,,,,,,,,,,,,,,,,
3-Mar,3,2,off reef,1,7,,0.125,,,,,,,,,,,,,,,,
3-Mar,3,2,off reef,3,7,,0.3,,,,,,,,,,,,,,,,
4-Mar,5,3,off reef,4,4,5,0.5,,,,,,,,,,,,,,,,
4-Mar,5,3,off reef,6,4,2,0.6,,,,,,,,,,,,,,,,
4-Mar,5,3,off reef,3,5,3,0.375,,,,,,,,,,,,,,,,
4-Mar,5,3,off reef,3,4,4,0.428571429,,,,,,,,,,,,,,,,
4-Mar,5,3,off reef,7,2,1,0.777777778,,,,,,,,,,,,,,,,
5-Mar,2,4,off reef,5,3,1,0.625,,,,,,,,,,,,,,,,
5-Mar,2,4,off reef,2,7,4,0.222222222,,,,,,,,,,,,,,,,
5-Mar,2,4,off reef,5,3,5,0.625,,,,,,,,,,,,,,,,
5-Mar,2,4,off reef,5,3,2,0.625,,,,,,,,,,,,,,,,
5-Mar,2,4,off reef,6,4,3,0.6,,,,,,,,,,,,,,,,
7-Mar,4,1,off reef,3,7,5,0.3,,,,,,,,,,,,,,,,
7-Mar,4,1,off reef,4,4,1,0.5,,,,,,,,,,,,,,,,
7-Mar,4,1,off reef,3,6,2,0.333333333,,,,,,,,,,,,,,,,
7-Mar,4,1,off reef,3,6,3,0.333333333,,,,,,,,,,,,,,,,
7-Mar,4,1,off reef,3,6,4,0.333333333,,,,,,,,,,,,,,,,
3-Mar,1,0,no sound,4,5,,0.444444444,,,,,,,,,,,,,,,,
3-Mar,1,0,no sound,0,7,,0,,,,,,,,,,,,,,,,
3-Mar,1,0,no sound,3,6,,0.333333333,,,,,,,,,,,,,,,,
3-Mar,1,0,no sound,2,8,,0.2,,,,,,,,,,,,,,,,
3-Mar,1,0,no sound,6,4,,0.6,,,,,,,,,,,,,,,,
4-Mar,2,0,no sound,4,6,2,0.4,,,,,,,,,,,,,,,,
